no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
1,Elise,Munoz,Sophomore,OF,59,139,124,3,12,0.914,0,0,0,0,0,0,Pima,1
12,Mia,Casadei,Sophomore,OF,60,101,94,5,2,0.98,3,1,0,0,0,0,Pima,1
3,Jasmine,Majonica,Freshman,INF/OF,48,83,73,6,4,0.952,3,0,0,0,0,0,Pima,1
10,Stephanie,Tapia,Sophomore,INF,60,83,71,5,7,0.916,6,0,0,0,0,0,Pima,1
6,Analisa,Gomez,Sophomore,INF,60,96,69,10,17,0.823,4,0,0,0,0,0,Pima,1
21,Alejandra,Castro,Sophomore,1B/C,52,72,68,0,4,0.944,10,5,2,0.286,4,0,Pima,1
7,Wendy,Castro,Sophomore,LHP,36,48,36,9,3,0.938,4,4,0,0,0,0,Pima,1
8,Madison,Fillman-Moreno,Freshman,OF,38,36,28,2,6,0.833,1,0,1,1,0,0,Pima,1
25,Alexis,Tsosie-Hood,Freshman,P,24,19,17,1,1,0.947,0,1,1,0.5,0,0,Pima,1
15,Missey,Galloway,Freshman,OF,19,9,7,1,1,0.889,0,0,0,0,0,0,Pima,1
16,Genesis,Zazueta,Freshman,RHP,17,10,7,1,2,0.8,0,0,0,0,0,0,Pima,1
26,Maria,Galloway,Freshman,P/INF,17,3,3,0,0,1,0,0,0,0,0,0,Pima,1
20,Alissandra,Montiel,Sophomore,RHP,16,7,3,3,1,0.857,0,4,0,0,0,0,Pima,1
11,Jazlyn,Felix,Freshman,OF,18,2,2,0,0,1,0,0,0,0,0,0,Pima,1
23,Desirre,Miranda,Freshman,1B,4,2,2,0,0,1,0,0,0,0,0,0,Pima,1
9,Torie,Au,Freshman,UTL,48,172,143,17,12,0.93,7,0,0,0,0,0,Yavapai,1
6,Amanda,Pay,Freshman,C,48,137,127,5,5,0.964,1,49,8,0.14,23,1,Yavapai,1
18,Darby,Kramp,Freshman,UTL,48,135,110,9,16,0.881,6,0,0,0,0,0,Yavapai,1
12,Aly,Savage,Freshman,UTL,48,112,98,9,5,0.955,4,0,0,0,0,0,Yavapai,1
5,Meghan,Kelly,Freshman,OF,47,94,91,3,0,1,1,0,0,0,0,0,Yavapai,1
14,Brina,Lankford,Freshman,C,39,68,65,0,3,0.956,3,38,1,0.026,11,0,Yavapai,1
22,Genavie,Espinoza,Sophomore,P/UTL,47,50,45,2,3,0.94,2,0,0,0,0,0,Yavapai,1
7,Sydney,Jones,Sophomore,C/UTL,37,46,39,0,7,0.848,0,7,0,0,3,0,Yavapai,1
0,Maritza,Celaya,Freshman,INF,23,33,23,8,2,0.939,2,0,0,0,0,0,Yavapai,1
2,Abbie,Bean,Freshman,P,27,29,20,6,3,0.897,0,0,0,0,0,0,Yavapai,1
